	amikacin	ceftazidime	ciprofloxacin	gentamicin	imipenem	meropenem	tetracycline	tobramycin	ceftriaxone	cefepime	levofloxacin	minocycline	ampicillin_sulbactam	doripenem	trimethoprim_sulfamethoxazole	piperacillin_tazobactam
GCA_016520545.2	1	1	1	1	0	0	1	0	1	2	1	2	0	0	1	2
GCA_016520255.2	1	1	1	1	0	2	1	1	1	2	1	2	1	0	1	2
GCA_016519925.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016519525.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016519515.2	1	1	1	1	1	1	1	1	1	2	1	2	0	2	0	2
GCA_000241685.2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2
GCA_000809865.3	1	0	1	1	2	1	1	1	2	0	1	2	1	2	1	2
GCA_000809905.3	1	0	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000809965.3	1	1	1	1	1	1	1	1	2	1	1	2	0	2	1	1
GCA_000811325.3	1	1	1	1	0	1	2	1	2	1	2	2	0	2	0	2
GCA_000809705.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000809725.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000809745.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000809785.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000810645.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810665.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810725.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810685.3	1	1	1	1	1	1	1	0	2	1	1	2	1	2	1	2
GCA_000810765.3	1	1	1	1	1	1	1	0	2	1	1	2	1	2	1	2
GCA_000810065.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000809505.3	1	1	1	1	0	0	2	1	2	1	2	2	0	2	0	2
GCA_000811005.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000811015.3	1	1	1	1	1	1	1	1	2	1	1	2	0	2	1	1
GCA_000810585.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000811165.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809285.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000811905.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000810915.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000810945.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000811565.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000811765.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000811745.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000810525.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809465.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000811485.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000811505.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000810545.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000810565.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809205.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809525.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809545.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809585.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809665.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000811105.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000811185.3	1	1	1	1	1	1	2	1	2	0	2	2	1	2	1	2
GCA_000810425.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810445.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809765.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000811225.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000811245.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809945.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000810045.3	1	1	1	1	2	1	1	1	2	1	1	2	0	2	1	2
GCA_000811785.3	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1
GCA_000809405.3	1	1	1	1	0	1	1	1	2	1	1	2	0	2	1	1
GCA_000810465.3	1	1	1	1	1	1	1	1	2	1	1	2	0	2	1	2
GCA_000811825.3	1	1	1	1	1	1	1	1	2	1	1	2	0	2	1	1
GCA_000810935.3	1	1	1	1	1	1	1	1	2	1	1	2	0	2	1	1
GCA_000811865.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000811885.3	1	1	1	1	1	1	1	1	2	1	1	2	0	2	1	1
GCA_000811925.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000810085.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000811265.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000811545.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000811645.3	1	1	1	1	2	1	1	1	2	1	1	2	0	2	1	2
GCA_000811805.3	1	0	1	0	1	1	0	0	2	1	1	2	1	2	0	1
GCA_000810995.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	0	1
GCA_000811085.3	1	1	1	1	1	1	1	0	2	1	1	2	1	2	1	1
GCA_000811585.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000811665.3	1	1	1	1	2	1	1	1	2	1	1	2	0	2	1	2
GCA_000811625.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000811685.3	1	1	1	1	2	1	1	1	2	1	1	2	0	2	1	2
GCA_000811705.3	1	1	1	1	2	1	1	1	2	1	1	2	0	2	1	2
GCA_000811725.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000810025.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000811525.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000811605.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000809445.3	1	1	1	1	1	1	2	1	2	1	2	2	0	2	1	2
GCA_000811945.3	1	1	1	1	1	1	1	1	2	1	1	2	0	2	1	2
GCA_000809305.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809345.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000810745.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810835.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809385.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809225.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809215.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000809565.3	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000810865.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810875.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809325.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810205.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810485.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809365.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809485.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809685.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809805.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809825.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809845.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000810985.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000811065.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000810825.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810905.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810125.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810145.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810165.3	1	1	1	1	1	1	1	1	2	1	1	2	0	2	1	2
GCA_000810185.3	1	1	1	1	1	1	1	1	2	1	1	2	0	2	1	2
GCA_000811145.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810385.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000810405.3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000809985.3	1	1	1	1	2	1	1	1	2	1	1	2	1	2	1	2
GCA_000018445.1	1	1	1	0	1	1	2	1	2	1	2	2	2	2	1	2
GCA_000069245.1	1	1	1	1	0	0	1	1	2	1	2	2	2	2	1	2
GCA_000286615.1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2
GCA_000286535.1	1	1	1	1	0	2	1	1	1	0	1	2	2	2	1	2
GCA_900478055.2	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	1
GCA_900478075.2	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	1
GCA_000278625.1	1	1	1	1	0	2	1	1	1	1	1	2	2	2	1	2
GCA_000515495.1	1	1	1	1	1	1	1	1	1	1	1	2	0	2	1	2
GCA_000513795.2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2
GCA_000515515.1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000515555.1	1	1	1	1	1	1	2	1	2	1	2	2	0	2	1	2
GCA_000515575.1	1	0	1	1	2	2	2	1	2	1	2	2	1	2	1	2
GCA_000515655.1	1	1	1	1	0	1	2	1	2	1	2	2	2	2	1	2
GCA_000515675.1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000515695.1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000515715.1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000515735.1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000949115.2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
GCA_000515815.1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000515855.1	1	0	1	1	2	2	2	1	2	1	2	2	1	2	1	2
GCA_000515895.1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2
GCA_000516055.1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2
GCA_000517505.1	1	1	1	1	1	1	2	1	2	1	2	2	0	2	1	2
GCA_000949045.2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000949175.2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000949195.2	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	1
GCA_000516155.1	1	1	1	1	0	0	2	1	2	1	2	2	0	2	0	2
GCA_000516175.1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000516195.2	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000949165.2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	0	1
GCA_000949185.2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	0	1
GCA_000516215.2	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000516235.1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000949055.2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000949035.2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2
GCA_000516275.1	1	1	1	1	1	1	2	1	2	0	2	2	1	2	1	2
GCA_000516295.1	1	1	1	1	0	1	2	0	2	1	2	2	0	2	1	2
GCA_000516335.2	1	1	1	0	1	1	2	0	2	1	2	2	1	2	1	2
GCA_000516355.2	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000516375.1	1	0	1	1	2	2	2	1	2	1	2	2	1	2	1	2
GCA_000515915.1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000515975.1	1	1	1	1	1	1	2	1	2	1	2	2	2	2	1	2
GCA_000515875.2	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000515995.2	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000516015.1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2
GCA_000516095.2	1	1	1	1	1	1	2	1	2	0	2	2	1	2	1	2
GCA_003941605.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941585.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941545.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941525.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941815.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941785.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941795.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941515.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941505.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	0	1
GCA_003941485.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003941735.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003941755.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941435.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941425.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941405.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	0	1
GCA_003941715.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941695.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003941415.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941385.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003941315.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941685.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941295.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003941645.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941325.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941285.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941625.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941305.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941245.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941255.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941185.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941615.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	0	1
GCA_003941205.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941195.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941145.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941125.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003940135.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003940125.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941135.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003940105.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003940965.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941085.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003940915.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003939655.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003940875.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003941065.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003939645.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003941025.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003940075.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003940865.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003940925.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	0	1
GCA_003940065.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003941015.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003939625.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	0	1
GCA_003939545.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003939525.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003939505.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003939465.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003939475.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003939445.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003940015.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003940005.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003940395.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003940365.1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
GCA_003939955.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003939935.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_003939415.1	1	1	1	1	1	1	2	2	1	1	1	0	1	2	1	1
GCA_002761575.1	1	1	1	1	2	2	2	1	2	1	2	2	2	2	2	2
GCA_001664595.1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1
GCA_001664815.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001664835.1	1	2	1	1	2	2	2	1	1	2	2	2	0	2	2	1
GCA_001665155.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001664855.1	1	2	1	1	2	2	2	1	1	2	2	2	1	2	2	1
GCA_001665205.1	1	1	1	1	1	2	1	1	1	0	1	0	0	2	2	1
GCA_001665095.1	1	2	1	1	2	2	2	1	0	2	2	2	1	2	2	1
GCA_001664965.1	1	2	1	1	2	2	2	2	1	2	2	0	1	2	2	1
GCA_001664975.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001665215.1	1	1	1	1	1	2	1	1	1	0	1	0	1	2	2	1
GCA_001666305.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001665985.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666065.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001664685.1	1	1	1	0	1	2	1	0	1	1	1	0	0	2	2	1
GCA_001666315.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001664585.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001664565.1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1
GCA_001664575.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001665045.1	1	1	1	1	1	2	1	1	1	0	1	0	0	2	2	0
GCA_001664645.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001665055.1	1	1	1	1	1	2	1	1	1	1	1	0	0	2	2	1
GCA_001664655.1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1
GCA_001665285.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666105.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666145.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666155.1	1	1	1	1	1	2	1	1	1	1	1	0	0	2	2	1
GCA_001666325.1	1	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1
GCA_001666195.1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	1
GCA_001664725.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666235.1	1	2	1	1	2	2	2	1	1	2	2	2	1	2	2	1
GCA_001666385.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666275.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666405.1	1	1	1	1	1	2	1	1	1	1	1	0	0	2	2	1
GCA_001666425.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001664735.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666465.1	1	2	1	1	2	2	2	1	1	2	2	2	1	2	2	1
GCA_001666475.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666485.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666555.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666545.1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1
GCA_001666575.1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1
GCA_001666565.1	1	2	1	1	2	2	2	1	1	2	2	2	1	2	2	1
GCA_001666625.1	1	1	1	1	1	2	1	1	1	0	1	0	1	2	2	1
GCA_001664755.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666635.1	1	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1
GCA_001666645.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666665.1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	2	1
GCA_001666715.1	1	1	1	1	1	2	2	1	1	2	2	2	1	2	2	1
GCA_001664765.1	1	0	1	0	1	2	0	0	0	1	1	0	1	2	2	1
GCA_001664805.1	1	1	1	1	1	2	1	1	1	1	1	1	0	2	2	1
GCA_001441475.1	1	0	2	2	2	1	1	2	2	2	1	2	2	2	2	2
GCA_001441485.1	1	0	2	2	2	1	1	2	2	2	1	2	2	2	2	2
GCA_001441455.1	1	2	2	1	2	0	1	2	2	2	1	2	2	2	2	2
